Date,Store,Fuel_Price,CPI,Unemployment,Temperature_C,Weekly_Sales,Ave_Sales,Proph_Label,Label
2012-10-21,1,3.4874396015023583,223.46114505758842,6.627969889137383,17.659894507961642,1529256.2015928498,1555264.3975524479,Average,Average
2012-10-28,1,3.4723326031153667,223.44317172739815,6.634451755765782,16.448991759656735,1587565.9285275938,1555264.3975524479,Average,Average
2012-11-04,1,3.456622804798149,223.40974160490032,6.623966295948183,15.104578284227333,1678285.9547466473,1555264.3975524479,Average,Average
2012-11-11,1,3.441572837801473,223.37260879232056,6.592423585529014,13.620765743085125,1742059.0543659497,1555264.3975524479,Average,Average
2012-11-18,1,3.4235387253391107,223.3584922284992,6.5567888539368555,12.028794925851637,1765626.8236616715,1555264.3975524479,Average,Average
2012-11-25,1,3.4055850546397908,223.38959742167816,6.538984102452103,10.489867239628849,1801216.4766935806,1555264.3975524479,Above,Average
2012-12-02,1,3.3995177833462047,223.45497856878924,6.542119420001709,9.224502842166507,1896476.1117773931,1555264.3975524479,Above,Average
2012-12-09,1,3.4131302827419328,223.5179448557485,6.540376728606975,8.329661193067242,2012651.3304392784,1555264.3975524479,Above,Average
2012-12-16,1,3.43954572855624,223.5615803083571,6.495823211500992,7.731498317164045,2036250.8490651508,1555264.3975524479,Above,Average
2012-12-23,1,3.4645317010504555,223.6197693000877,6.391910282473915,7.34432822624205,1889657.6234437984,1555264.3975524479,Above,Average
2012-12-30,1,3.483871647658888,223.7491696485921,6.2543025949821205,7.193314951668925,1628052.1169818013,1555264.3975524479,Average,Average
2013-01-06,1,3.5081903015853264,223.96605198093445,6.13645159639516,7.289424843266508,1412360.306883173,1555264.3975524479,Average,Above
2013-01-13,1,3.547949187136172,224.2188430955581,6.078695759382768,7.431635890551942,1375338.269000154,1555264.3975524479,Average,Average
2013-01-20,1,3.5977113539500256,224.4313845583757,6.076926395002962,7.30900632033468,1511186.11873611,1555264.3975524479,Average,Average
2013-01-27,1,3.641217803087097,224.57204589934776,6.0905006402757085,6.918403595012762,1693726.5690020206,1555264.3975524479,Average,Average
2013-02-03,1,3.6724597499835374,224.6743819502566,6.081919873015472,6.801326342849793,1795218.8353355124,1555264.3975524479,Above,Average
2013-02-10,1,3.7060008800846385,224.79110023945012,6.049335078722981,7.663317271137005,1784049.488684187,1555264.3975524479,Average,Average
2013-02-17,1,3.761522471166599,224.9372681207672,6.020554100558928,9.643573801604845,1718598.8931068769,1555264.3975524479,Average,Average
2013-02-24,1,3.839651703102436,225.08390934144745,6.0171006130042635,12.03552410446685,1668994.25782675,1555264.3975524479,Average,Average
2013-03-03,1,3.918333728164922,225.1984861722256,6.027331158753976,13.875007809780413,1658349.3036132734,1555264.3975524479,Average,Average
2013-03-10,1,3.975020390282248,225.2767683287629,6.016577580139644,14.842063595356665,1669365.4116971726,1555264.3975524479,Average,Average
2013-03-17,1,4.008889557145864,225.3320956279101,5.962375359270258,15.496058993837268,1682585.4571871685,1555264.3975524479,Average,Average
2013-03-24,1,4.0375955048363386,225.3683632860605,5.8773482199161435,16.564776153196547,1693035.1033342415,1555264.3975524479,Average,Average
2013-03-31,1,4.074082489142163,225.38103280576428,5.797401218565862,18.083377330213896,1698082.4042318957,1555264.3975524479,Average,Average
2013-04-07,1,4.112037724970897,225.3847153134817,5.74985005453662,19.366052796257453,1688935.397624721,1555264.3975524479,Average,Average
2013-04-14,1,4.135734778282886,225.4210866904136,5.734287846676387,19.83508396756419,1662978.1740992174,1555264.3975524479,Average,Average
2013-04-21,1,4.138993872681366,225.5213609794806,5.731427419774821,19.736595094757863,1635868.454989232,1555264.3975524479,Average,Average
2013-04-28,1,4.128488460215944,225.6606482035624,5.724963277959407,19.91409999131579,1629379.7521308304,1555264.3975524479,Average,Average
2013-05-05,1,4.109416187338688,225.7642360213099,5.712360833058505,20.918506713834642,1646534.262924661,1555264.3975524479,Average,Average
2013-05-12,1,4.075492423567105,225.7718752618234,5.698329485031666,22.486413837344063,1667141.8142775525,1555264.3975524479,Average,Average
2013-05-19,1,4.018592517382931,225.69651679996437,5.684823732587692,23.938123755493027,1671883.1939759997,1555264.3975524479,Average,Average
2013-05-26,1,3.9454204246002296,225.6140976129536,5.6706981334073365,24.945908975698924,1664604.5130961675,1555264.3975524479,Average,Average
2013-06-02,1,3.8772243353857,225.59444593999504,5.657754048197639,25.740258668989206,1663663.8286404824,1555264.3975524479,Average,Average
2013-06-09,1,3.8301213222443886,225.64546386542477,5.651165225213723,26.58448637207693,1673967.5903141303,1555264.3975524479,Average,Average
2013-06-16,1,3.8003002676737943,225.7228447715873,5.65174610182698,27.2751519154392,1677502.7740090482,1555264.3975524479,Average,Average
2013-06-23,1,3.774057013571391,225.7831895070864,5.65091558529438,27.363022910810706,1656040.9557424518,1555264.3975524479,Average,Average
2013-06-30,1,3.7507860352897935,225.8181165569437,5.637494126545797,26.83483972531353,1616756.915375901,1555264.3975524479,Average,Average
2013-07-07,1,3.7484087833875366,225.84174878406856,5.6101594040476295,26.35941906096179,1586966.2111525491,1555264.3975524479,Average,Average
2013-07-14,1,3.78127568866974,225.8624671208333,5.5804696465587815,26.69244056255673,1584405.958054199,1555264.3975524479,Average,Average
2013-07-21,1,3.8364272669917514,225.87909754331142,5.561355175068809,27.86229109400465,1600982.9272329574,1555264.3975524479,Average,Average
2013-07-28,1,3.8795888550013435,225.89865861057137,5.5534521836189095,29.067940301616897,1618775.377108934,1555264.3975524479,Average,Average
2013-08-04,1,3.887865638556346,225.94105680818424,5.545101166326005,29.42689205330877,1633537.2104055018,1555264.3975524479,Average,Average
2013-08-11,1,3.8726117721634616,226.01811241317955,5.526341274703128,28.76026715472918,1652485.5437265912,1555264.3975524479,Average,Average
2013-08-18,1,3.8652495179010256,226.11631502998532,5.500815560106855,27.601702929767004,1671604.7381419882,1555264.3975524479,Average,Average
2013-08-25,1,3.8814193237848262,226.2132083352577,5.481539176863795,26.52094286399787,1669596.843439065,1555264.3975524479,Average,Average
2013-09-01,1,3.9041532235271204,226.31194600962777,5.474761161843693,25.573029266520944,1634105.5150527142,1555264.3975524479,Average,Average
2013-09-08,1,3.904423358533698,226.44799194063603,5.469830629626415,24.427380914160985,1587243.5270716816,1555264.3975524479,Average,Average
2013-09-15,1,3.8742518585954464,226.65127157015803,5.446922848433094,22.89847439441016,1569935.753998777,1555264.3975524479,Average,Average
2013-09-22,1,3.834686112884233,226.90331443808282,5.395783801899314,21.206033865924706,1595674.1959794846,1555264.3975524479,Average,Average
2013-09-29,1,3.811942841672969,227.1404335587084,5.327372687986991,19.71966770175209,1630338.6390112469,1555264.3975524479,Average,Average
2013-10-06,1,3.8111936610679,227.30290292996017,5.267188331892778,18.571585220480095,1630112.6115857959,1555264.3975524479,Average,Average
2013-10-13,1,3.8165301405281933,227.37768748951285,5.235951469219937,17.591699597467127,1597094.326156881,1555264.3975524479,Average,Average
2013-10-20,1,3.8123339261091616,227.39255694590827,5.2339180747936656,16.552771613401745,1583054.7048425109,1555264.3975524479,Average,Average
2013-10-27,1,3.798143289978548,227.37806216856978,5.2413973978551045,15.367463199394493,1630491.49893522,1555264.3975524479,Average,Average
2013-11-03,1,3.782172405108289,227.3469056347665,5.234913568105402,14.046583243133323,1719958.438792431,1555264.3975524479,Average,Average
2012-10-21,2,3.4874396015023583,223.1053466583157,6.189761966714902,17.488611484779344,1829758.265269326,1925751.3355244757,Average,Average
2012-10-28,2,3.4723326031153667,223.10497237370043,6.204867413944242,16.43289372147644,1931327.1837783875,1925751.3355244757,Average,Average
2012-11-04,2,3.456622804798149,223.0929346376976,6.195601165097081,15.225256619039076,2065924.5500447282,1925751.3355244757,Average,Average
2012-11-11,2,3.441572837801473,223.0764531711289,6.1586482464363375,13.713252530920867,2148880.625638927,1925751.3355244757,Average,Average
2012-11-18,2,3.4235387253391107,223.0780430306562,6.120192572236826,11.937467679048655,2189019.6136315614,1925751.3355244757,Average,Average
2012-11-25,2,3.4055850546397908,223.11776166882927,6.107473443390693,10.20611871551191,2287169.434226089,1925751.3355244757,Above,Average
2012-12-02,2,3.3995177833462047,223.18498273538228,6.119273654044298,8.877114682172481,2497566.643067561,1925751.3355244757,Above,Average
2012-12-09,2,3.4131302827419328,223.24480415467528,6.1231547290942006,8.051155518909892,2711920.292738561,1925751.3355244757,Above,Average
2012-12-16,2,3.43954572855624,223.28211887267258,6.082598067864836,7.533947493275349,2724782.410992938,1925751.3355244757,Above,Average
2012-12-23,2,3.4645317010504555,223.33194813883796,5.98976653661307,7.10763258671159,2438599.5844462463,1925751.3355244757,Above,Average
2012-12-30,2,3.483871647658888,223.45187216867302,5.87463044827651,6.75759201225868,1993115.85524796,1925751.3355244757,Average,Average
2013-01-06,2,3.5081903015853264,223.65972230348058,5.782682088697042,6.56991991111758,1666785.8066960438,1925751.3355244757,Average,Average
2013-01-13,2,3.547949187136172,223.90623550834363,5.741084481374996,6.482832261212418,1638184.9693310158,1925751.3355244757,Average,Above
2013-01-20,2,3.5977113539500256,224.1173155885686,5.7419168167101295,6.31034401129053,1845312.3848577484,1925751.3355244757,Average,Above
2013-01-27,2,3.641217803087097,224.26183821056046,5.754532023700391,6.09194398047557,2073241.8141748384,1925751.3355244757,Average,Average
